Matrix Size = 50,Iterations = 25
Algorithm,Number of Moves,Execution Time
bfs,66,20.15
bfs,66,9.607
bfs,66,12.585
bfs,66,12.085
bfs,67,2.064
bfs,66,12.452
bfs,83,1.939
bfs,66,1.623
bfs,66,16.086
bfs,66,12.758
bfs,80,0.996
bfs,73,6.277
bfs,66,16.844
bfs,66,2.433
bfs,73,4.531
bfs,66,12.498
bfs,66,14.941
bfs,66,12.642
bfs,72,5.146
bfs,66,1.289
bfs,66,18.74
bfs,66,20.717
bfs,66,2.685
bfs,66,21.089
bfs,66,19.442
Average bfs,68.08,10.465
dfs,3193,10.377
dfs,2900,3.398
dfs,3148,5.022
dfs,3333,3.972
dfs,1382,0.586
dfs,3397,3.808
dfs,1115,1.008
dfs,1211,0.72
dfs,3651,3.991
dfs,3325,4.207
dfs,1037,0.536
dfs,830,5.0
dfs,3732,6.018
dfs,1449,1.022
dfs,1904,1.399
dfs,3447,3.634
dfs,3606,4.752
dfs,3313,4.019
dfs,2089,2.176
dfs,1199,0.518
dfs,3580,7.533
dfs,1345,0.355
dfs,1599,1.005
dfs,4202,5.84
dfs,4060,6.111
Average dfs,2561.88,3.48
greedy,67,0.002
greedy,67,0.001
greedy,87,0.017
greedy,68,0.002
greedy,85,0.003
greedy,79,0.002
greedy,143,0.273
greedy,88,0.013
greedy,71,0.002
greedy,94,0.017
greedy,85,0.015
greedy,114,0.485
greedy,66,0.002
greedy,109,0.04
greedy,98,0.019
greedy,76,0.012
greedy,66,0.001
greedy,67,0.001
greedy,91,0.004
greedy,76,0.002
greedy,82,0.002
greedy,66,0.002
greedy,97,0.01
greedy,71,0.002
greedy,67,0.002
Average greedy,83.2,0.037
a_star,67,0.003
a_star,67,0.003
a_star,87,0.03
a_star,68,0.004
a_star,85,0.006
a_star,79,0.004
a_star,140,0.431
a_star,88,0.025
a_star,71,0.004
a_star,94,0.028
a_star,85,0.026
a_star,114,0.742
a_star,66,0.003
a_star,133,0.071
a_star,98,0.037
a_star,76,0.022
a_star,66,0.003
a_star,67,0.003
a_star,91,0.008
a_star,76,0.005
a_star,82,0.006
a_star,66,0.003
a_star,97,0.02
a_star,71,0.004
a_star,67,0.004
Average a_star,84.04,0.06
ids,67,0.003
ids,67,0.003
ids,87,0.031
ids,68,0.004
ids,85,0.006
ids,79,0.005
ids,140,0.431
ids,88,0.025
ids,71,0.004
ids,94,0.028
ids,85,0.028
ids,114,0.737
ids,66,0.003
ids,133,0.07
ids,98,0.037
ids,76,0.022
ids,66,0.003
ids,67,0.003
ids,91,0.008
ids,76,0.005
ids,82,0.006
ids,66,0.003
ids,97,0.043
ids,71,0.004
ids,67,0.004
Average ids,84.04,0.061
